Date,Open,High,Low,Close,Adj Close,Volume
2022-07-01,3260.0,3333.0,3252.050048828125,3315.10009765625,3306.37255859375,1502879
2022-07-04,3312.0,3317.949951171875,3225.050048828125,3235.050048828125,3226.533203125,2622535
2022-07-05,3255.0,3272.0,3206.949951171875,3216.300048828125,3207.83251953125,2170627
2022-07-06,3218.5,3268.5,3202.25,3260.75,3252.16552734375,2182144
2022-07-07,3271.0,3319.39990234375,3265.050048828125,3287.85009765625,3279.1943359375,1989921
2022-07-08,3300.0,3305.0,3250.0,3265.449951171875,3256.85302734375,2136916
2022-07-11,3206.14990234375,3225.0,3106.0,3113.800048828125,3105.6025390625,6974600
2022-07-12,3114.89990234375,3136.199951171875,3080.25,3084.699951171875,3076.578857421875,3734815
2022-07-13,3104.0,3110.0,3035.0,3038.75,3030.75,3863530
2022-07-14,3056.0,3057.0,2967.0,2998.75,2998.75,4764908
2022-07-15,3018.550048828125,3028.89990234375,2953.0,2994.60009765625,2994.60009765625,4574806
2022-07-18,3023.0,3076.949951171875,3014.300048828125,3063.5,3063.5,3202795
2022-07-19,3030.050048828125,3078.949951171875,3030.050048828125,3074.25,3074.25,1865074
2022-07-20,3107.800048828125,3171.949951171875,3098.050048828125,3164.800048828125,3164.800048828125,3402251
2022-07-21,3167.0,3184.0,3144.050048828125,3177.300048828125,3177.300048828125,2420640
2022-07-22,3185.0,3197.0,3143.5,3171.0,3171.0,2075886
2022-07-25,3165.0,3186.449951171875,3149.10009765625,3166.75,3166.75,1797504
2022-07-26,3164.699951171875,3168.89990234375,3096.5,3115.89990234375,3115.89990234375,2639367
2022-07-27,3115.0,3194.10009765625,3110.0,3188.85009765625,3188.85009765625,1389808
2022-07-28,3216.0,3264.0,3201.64990234375,3260.5,3260.5,2106333
2022-07-29,3290.0,3317.300048828125,3275.0,3301.89990234375,3301.89990234375,2430257
2022-08-01,3327.0,3327.0,3271.0,3298.800048828125,3298.800048828125,1306913
2022-08-02,3290.0,3312.89990234375,3271.64990234375,3291.800048828125,3291.800048828125,1269114
2022-08-03,3280.0,3349.0,3277.050048828125,3339.5,3339.5,2895824
2022-08-04,3350.0,3387.89990234375,3307.35009765625,3354.949951171875,3354.949951171875,2150567
2022-08-05,3361.199951171875,3377.0,3355.0,3365.050048828125,3365.050048828125,1106933
2022-08-08,3365.0,3378.89990234375,3336.0,3374.449951171875,3374.449951171875,1068836
2022-08-10,3385.0,3385.0,3335.0,3354.25,3354.25,1878359
2022-08-11,3400.0,3428.699951171875,3375.050048828125,3422.5,3422.5,1449248
2022-08-12,3419.0,3419.0,3381.25,3401.550048828125,3401.550048828125,1472354
2022-08-16,3411.0,3414.85009765625,3387.5,3392.699951171875,3392.699951171875,839942
2022-08-17,3385.10009765625,3417.949951171875,3371.10009765625,3401.10009765625,3401.10009765625,1622326
2022-08-18,3390.0,3392.0,3362.0,3381.25,3381.25,1430659
2022-08-19,3387.0,3421.5,3371.25,3385.75,3385.75,1398410
2022-08-22,3365.0,3384.10009765625,3347.39990234375,3354.550048828125,3354.550048828125,1536532
2022-08-23,3319.949951171875,3341.89990234375,3270.0,3284.60009765625,3284.60009765625,1849256
2022-08-24,3292.0,3308.0,3250.199951171875,3255.35009765625,3255.35009765625,1691923
2022-08-25,3276.0,3278.14990234375,3214.75,3218.199951171875,3218.199951171875,1946930
2022-08-26,3234.300048828125,3257.0,3216.800048828125,3222.199951171875,3222.199951171875,1457962
2022-08-29,3125.0,3142.699951171875,3081.0,3132.550048828125,3132.550048828125,2539173
2022-08-30,3155.0,3226.5,3142.10009765625,3211.14990234375,3211.14990234375,3431525
